Timestamp,Stripping Gas,Pressure,Dry Glycol,Glycol Flow,Temperature
5/27/2021 9:00,130.6701813,27.73321915,0.27,1.769999981,196.9120026
5/27/2021 21:00,130.8930359,29.99986076,0.3,1.870000005,202.4815826
5/28/2021 9:00,130.8935547,30.11666679,0.51,1.870000005,199.777832
5/28/2021 21:00,130.6702576,30.89999962,0.33,1.870000005,199.5850525
5/29/2021 21:00,130.4631805,30.69166756,0.43,1.870000005,199.7886963
5/30/2021 9:00,130.2193146,30.76666641,0.4,1.870000005,199.5306396
5/30/2021 21:00,130.39151,30.98333359,0.4,1.870000005,199.4541016
5/31/2021 9:00,130.0941315,30.76666641,0.42,1.870000005,198.5771637
5/31/2021 21:00,129.8678284,28.07388878,0.38,1.870000005,197.0717468
6/1/2021 9:00,129.6995239,29.88333321,0.57,1.870000005,199.2946777
6/1/2021 21:00,129.7525482,28.25428009,0.55,1.870000005,199.8057556
6/2/2021 9:00,129.1373138,31.13333321,0.69,1.870000005,200.0158539
6/2/2021 21:00,129.8395538,32,0.23,1.870000005,198.8569031
6/3/2021 9:00,129.1405945,31.52972221,0.61,1.776642323,198.6562805
6/3/2021 21:00,129.3120575,31.92972183,0.35,1.867677808,198.6615295
6/4/2021 9:00,129.499054,31.61680603,0.62,1.870000005,197.0872192
6/4/2021 21:00,129.5268097,31.06733513,0.56,1.769999981,198.7630157
6/5/2021 9:00,129.4557037,30.78266525,0.71,1.77160418,200.4237366
6/5/2021 21:00,129.7121429,30.61366653,0.33,1.769999981,200.4475861
6/6/2021 9:00,129.7963104,30.89699936,0.88,1.769999981,200.187149
6/6/2021 21:00,102.9277344,41.56805038,0.29,1.769999981,199.9415894
6/7/2021 9:00,129.6488037,30.08033371,0.65,1.767473221,199.9037323
6/7/2021 21:00,128.8924561,34.12333298,0.23,1.769999981,200.142395
6/8/2021 9:00,129.2729492,32.05133438,0.24,1.769999981,200.0092163
6/8/2021 21:00,130.4289703,30.31505585,0.3,1.769999981,199.8863373
6/9/2021 9:00,129.9259338,32.25299835,0.44,1.769511104,199.8327484
6/9/2021 21:00,129.0458069,35.07666779,0.6,1.75999999,199.7645569
6/10/2021 9:00,129.1243134,29.33333397,0.28,1.762444377,201.085434
6/10/2021 21:00,129.4970856,29.46380615,0.54,1.769999981,200.9813843
6/11/2021 9:00,129.4599457,29,0.69,1.769999981,201.3733368
6/11/2021 21:00,130.0824432,30.10000038,0.43,1.763221383,200.4295349
6/12/2021 9:00,129.9502258,30.14999962,0.62,1.769999981,200.0354767
6/12/2021 21:00,129.9677277,30.33333397,0.22,1.769999981,200.0561066
6/13/2021 9:00,129.6925354,30.72800064,0.34,1.768937469,199.6622162
6/13/2021 21:00,129.6998901,30.43300056,0.47,1.769999981,199.8761139
6/14/2021 9:00,129.6026306,31.51597214,0.42,1.764823318,199.7027435
6/14/2021 21:00,129.3709717,30.26680565,0.34,3.651752472,200.622879
6/15/2021 9:00,129.8496094,29.96666718,0.33,1.75999999,199.9203949
6/15/2021 21:00,129.0769501,44.4852829,0.46,3.649999976,200.3455505
6/16/2021 9:00,129.2667542,38.48277664,0.49,3.648334742,199.4241486
6/16/2021 21:00,129.3833466,23.28388977,0.42,3.642338872,199.5714264
6/17/2021 9:00,129.6373444,26.58249855,0.38,3.642156482,199.5523376
6/17/2021 21:00,129.2414246,37.34448242,0.46,3.642506957,199.1761322
6/18/2021 9:00,129.1546783,38.38333511,0.45,1.870000005,200.1765289
6/18/2021 21:00,130.0946503,29.55448151,0.25,1.75999999,193.6960297
6/19/2021 9:00,129.5690613,29.86607361,0.35,1.76510036,199.4644012
6/19/2021 21:00,129.7654419,41.0027771,0.19,1.779999971,199.3345642
6/20/2021 9:00,129.7777252,29.80329704,0.38,3.42965138,199.8627014
6/20/2021 21:00,129.7893372,29.93333244,0.4,3.423534513,198.7965088
6/21/2021 8:30,,,0.39,0,
6/21/2021 21:00,130.4833679,30.28333282,0.88,3.588261962,199.4354858
6/22/2021 9:00,130.3943329,29.97805595,0.47,3.322850704,200.0671539
6/22/2021 21:00,130.2379761,30.38889122,0.52,2.520323992,199.8776093
6/23/2021 9:00,130.703186,34.65097046,0.32,1.830000043,199.7850952
6/23/2021 21:00,130.831192,31.98333359,0.3,1.830000043,199.7210236
6/24/2021 9:00,130.4768524,32.29444122,0.31,1.830000043,200.0559845
6/24/2021 21:00,130.9086151,31.43361282,0.88,3.401180387,199.917984
6/25/2021 9:00,130.7404175,33.85013962,0.4,3.279694081,200.2714081
6/25/2021 21:00,11.22031116,19.48333359,0.66,3.572866321,200.1107635
6/26/2021 9:00,125.0841751,39.79999924,0.47,3.596912503,199.7334747
6/26/2021 21:00,133.0414124,43.82694626,0.65,3.589684129,200.1122437
6/27/2021 9:00,132.2516022,44.54611206,0.52,3.576786398,200.3104401
6/27/2021 21:00,11.1500349,34.7401886,0.55,3.501892686,201.1175537
6/28/2021 9:00,133.6509705,27.98314667,0.61,3.541332722,200.1576538
6/29/2021 9:00,134.0708313,26.89500046,0.15,3.381011963,198.9602966
6/29/2021 21:00,133.9972839,31.70000076,0.45,3.444162011,199.7707825
6/30/2021 9:00,8.010820389,19,0.63,3.611792803,200.1855621
6/30/2021 21:00,133.9410858,29.73435402,0.44,3.607127666,200.0183411
7/1/2021 9:00,130.8838196,43.07838058,0.86,3.518855572,199.5220337
7/1/2021 21:00,131.0008087,45.39884186,0.64,3.617233753,199.8149414
7/2/2021 9:00,131.3650665,46.46268845,0.61,3.611578822,199.1400909
7/2/2021 21:00,132.8503265,35.59435272,0.83,3.505619645,199.1961365
7/3/2021 9:00,54.88077164,35.85208511,0.93,3.214020372,198.6123352
7/3/2021 21:00,82.60569,30.91472244,1.22,3.584708214,200.5061493
7/4/2021 9:00,78.25188446,27.16680527,0.96,1.779922843,200.8421173
7/4/2021 21:00,78.41457367,19.21666718,0.87,3.579868793,199.4050446
7/5/2021 9:00,78.61186218,19,0.79,3.575819373,199.4107361
7/5/2021 21:00,78.50858307,20,0.53,3.597050429,199.7166595
7/6/2021 9:00,78.74595642,20,0.96,3.543259859,199.729538
7/6/2021 21:00,78.35983276,30.17555618,0.53,3.543492794,199.6437073
7/7/2021 9:00,78.11618042,27.98666573,0.53,3.540419698,199.2346497
7/7/2021 21:00,79.31910706,19.86725998,1.01,3.500277281,199.975647
7/8/2021 9:00,80.01126099,23.68055534,0.98,3.517235518,200.7678223
